author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ANT Development;developer;https://www.cian.ru/sale/flat/303519398/;Москва;sale;flat;11;13;5;265.6;405328840;2024;-1;Монолитный;-1;Чистовая;-1;-1;+74951346248;Дорогомилово;;3к1;Парк Победы;Виктори Парк Резиденсез ЖК
ID 18174647;realtor;https://www.cian.ru/sale/flat/301450189/;Москва;sale;flat;26;31;5;246.7;288285796;2008;-1;-1;-1;-1;140,9 м²;28 м²;+79166462390;Очаково-Матвеевское;Нежинская ;1к1;Давыдково;Кутузовская Ривьера
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/275836899/;Москва;sale;flat;11;12;5;303.0;532071100;2014;-1;-1;-1;-1;117 м²;24 м²;+79652918238;Хамовники;Трубецкая ;12;Фрунзенская;Садовые кварталы
VESPER;developer;https://www.cian.ru/sale/flat/306541576/;Москва;sale;flat;21;21;5;363.3;629417250;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;190,3 м²;31,4 м²;+74951347641;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/305640017/;Москва;sale;flat;3;5;5;155.0;85000000;1909;-1;-1;-1;-1;-1;50 м²;+79857943691;Арбат; Арбат;40;Смоленская;
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/306835123/;Москва;sale;flat;4;8;5;117.0;58500000;1939;-1;-1;-1;-1;-1;10 м²;+79672086536;Пресненский;Большая Садовая ;3С1;Маяковская;
Главстрой;developer;https://www.cian.ru/sale/flat/296921235/;Москва;sale;flat;24;24;5;172.5;207000000;2024;-1;Монолитно-кирпичный;-1;Без отделки;104,6 м²;10,5 м²;+74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/306130662/;Москва;sale;flat;2;17;5;242.0;239900000;2017;-1;-1;-1;-1;120 м²;30 м²;+79165754905;Пресненский; Сергея Макеева;9к2;Улица 1905 года;RedSide
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/307003565/;Москва;sale;flat;2;5;5;242.0;338590700;-1;-1;-1;-1;-1;-1;27 м²;+79117755208;Арбат;переулок Романов;3С1;Библиотека им. Ленина;
MR Group;developer;https://www.cian.ru/sale/flat/306610990/;Москва;sale;flat;6;59;5;103.9;;2028;-1;Монолитно-кирпичный;-1;Предчистовая;65,7 м²;-1;+74951370518;Можайский;;;Давыдково;Веер ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306589273/;Москва;sale;flat;2;17;5;242.0;239990000;-1;-1;-1;-1;-1;-1;20 м²;+79855162121;Пресненский; Сергея Макеева;9к2;Улица 1905 года;RedSide
РИЭЛТ ХАУС;real_estate_agent;https://www.cian.ru/sale/flat/305189029/;Москва;sale;flat;6;8;5;103.4;23900000;1958;-1;-1;-1;-1;77,6 м²;7,9 м²;+79166011203;Южнопортовый; Трофимова;29;Кожуховская;
VESPER;developer;https://www.cian.ru/sale/flat/308564823/;Москва;sale;flat;5;5;5;590.3;2361200000;2027;-1;-1;-1;Чистовая с мебелью;-1;-1;+74951346294;Пресненский;Трехпрудный переулок;9С1;Маяковская;Клубный дом Левенсон
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/305880612/;Москва;sale;flat;2;12;5;290.0;280000000;2006;-1;-1;-1;-1;-1;40 м²;+79154194125;Раменки; Улофа Пальме;7;Минская;Lake House
